Date,Open,High,Low,Close,Adj Close,Volume
2018-09-21,48.410000,48.880001,48.169998,48.290001,48.290001,1033800
2018-09-24,48.040001,48.279999,46.259998,46.450001,46.450001,1453800
2018-09-25,46.759998,47.020000,45.580002,46.830002,46.830002,822000
2018-09-26,47.000000,47.619999,46.860001,47.270000,47.270000,653900
2018-09-27,47.470001,48.320000,47.470001,47.580002,47.580002,522100
2018-09-28,47.470001,47.770000,46.090000,46.970001,46.970001,997000
2018-10-01,46.900002,47.099998,45.240002,45.540001,45.540001,816000
2018-10-02,45.259998,45.259998,44.200001,44.540001,44.540001,1145200
2018-10-03,44.639999,45.410000,44.299999,44.849998,44.849998,837000
2018-10-04,44.740002,45.209999,44.250000,44.430000,44.430000,726500
2018-10-05,44.459999,44.930000,44.119999,44.389999,44.389999,595800
2018-10-08,43.490002,44.450001,43.259998,43.950001,43.950001,1033200
2018-10-09,43.830002,44.560001,43.759998,43.830002,43.830002,1014600
2018-10-10,43.570000,46.020000,42.830002,44.910000,44.910000,2188700
2018-10-11,46.639999,47.000000,45.660000,46.500000,46.500000,1774500
2018-10-12,47.330002,48.750000,46.580002,47.070000,47.070000,2303000
2018-10-15,47.099998,49.320000,46.430000,48.990002,48.990002,1539300
2018-10-16,49.480000,50.750000,49.070000,50.369999,50.369999,1492800
2018-10-17,51.250000,51.599998,49.950001,50.970001,50.970001,1357400
2018-10-18,50.959999,51.000000,49.599998,49.799999,49.799999,950200
2018-10-19,49.730000,50.910000,49.160000,50.779999,50.779999,905900
2018-10-22,50.369999,51.439999,50.369999,51.029999,51.029999,941800
2018-10-23,50.669998,50.869999,48.860001,50.590000,50.590000,1408900
2018-10-24,50.599998,50.980000,47.599998,47.689999,47.689999,2393400
2018-10-25,49.000000,53.490002,49.000000,53.230000,53.230000,4513900
2018-10-26,52.990002,53.340000,51.130001,52.520000,52.520000,1637200
2018-10-29,53.349998,53.720001,51.180000,52.090000,52.090000,1307200
2018-10-30,51.000000,53.299999,50.009998,52.759998,52.759998,1655800
2018-10-31,53.189999,53.610001,51.410000,51.900002,51.900002,1584800
2018-11-01,52.279999,52.750000,51.660000,52.380001,52.380001,1883700
2018-11-02,52.779999,54.500000,52.500000,53.689999,53.689999,1668000
2018-11-05,53.650002,54.389999,52.759998,53.910000,53.910000,863400
2018-11-06,53.820000,54.029999,52.959999,53.630001,53.630001,405600
2018-11-07,53.900002,53.950001,53.270000,53.400002,53.400002,791600
2018-11-08,53.299999,53.980000,53.020000,53.330002,53.330002,1030500
2018-11-09,53.330002,53.990002,52.680000,52.990002,52.990002,1762900
2018-11-12,52.910000,53.770000,52.400002,52.959999,52.959999,654800
2018-11-13,53.240002,53.830002,52.980000,53.410000,53.410000,831900
